run_id,lr,batch_size,target_update_every_steps,decay_mode,eval_success,eval_reward,eval_steps,eval_penalties,score,train_seconds
1,0.001,64,1000,linear_full,0.99,5.27,15.52,0.0,199.39000000000001,50.172662019729614
2,0.001,64,1000,linear_half,0.94,-5.06,24.8,0.0,176.74,38.49336290359497
3,0.001,64,2000,linear_full,0.99,5.23,15.56,0.0,199.34,55.1687490940094
4,0.001,64,2000,linear_half,0.85,-23.39,41.24,0.0,136.3,53.62603282928467
5,0.001,64,3000,linear_full,0.85,-23.57,41.42,0.0,136.07500000000002,55.13545227050781
6,0.001,64,3000,linear_half,0.79,-36.06,52.65,0.0,108.7775,58.38686680793762
7,0.001,128,1000,linear_full,1.0,7.34,13.66,0.0,203.925,56.69152808189392
8,0.001,128,1000,linear_half,1.0,7.34,13.66,0.0,203.925,41.329298973083496
9,0.001,128,2000,linear_full,0.99,5.27,15.52,0.0,199.39000000000001,58.61076807975769
10,0.001,128,2000,linear_half,0.89,-15.21,33.9,0.0,154.315,44.35009217262268
11,0.001,128,3000,linear_full,0.77,-40.16,56.33,0.0,99.75750000000001,61.85612964630127
12,0.001,128,3000,linear_half,0.72,-50.3,65.42,0.0,77.345,52.012986183166504
13,0.0001,64,1000,linear_full,0.82,-29.66,46.88,0.0,122.62,433.8570182323456
14,0.0001,64,1000,linear_half,0.67,-61.08,75.15,0.0,54.1325,63.974892139434814
15,0.0001,64,2000,linear_full,0.53,-89.73,100.86,0.0,-8.945000000000004,71.77897214889526
16,0.0001,64,2000,linear_half,0.57,-81.94,93.91,0.0,8.582499999999989,58.0797438621521
17,0.0001,64,3000,linear_full,0.6,-75.24,87.84,0.0,22.800000000000004,63.73558306694031
18,0.0001,64,3000,linear_half,0.41,-114.88,123.49,0.0,-63.7525,71.54475474357605
19,0.0001,128,1000,linear_full,0.99,5.23,15.56,0.0,199.34,68.50997924804688
20,0.0001,128,1000,linear_half,0.98,3.25,17.33,0.0,194.9175,64.35249614715576
21,0.0001,128,2000,linear_full,0.83,-27.71,45.14,0.0,127.005,80.47058916091919
22,0.0001,128,2000,linear_half,0.33,-131.12,138.05,0.0,-99.63250000000001,71.72369623184204
23,0.0001,128,3000,linear_full,0.6,-75.31,87.91,0.0,22.7125,70.82455396652222
24,0.0001,128,3000,linear_half,0.75,-44.93,60.68,0.0,89.89999999999999,69.76144909858704
25,1e-05,64,1000,linear_full,0.0,-200.0,200.0,0.0,-250.0,135.58783197402954
26,1e-05,64,1000,linear_half,0.0,-200.0,200.0,0.0,-250.0,151.8484752178192
27,1e-05,64,2000,linear_full,0.0,-200.0,200.0,0.0,-250.0,147.0264220237732
28,1e-05,64,2000,linear_half,0.0,-200.0,200.0,0.0,-250.0,151.34914898872375
29,1e-05,64,3000,linear_full,0.0,-200.0,200.0,0.0,-250.0,149.8871250152588
30,1e-05,64,3000,linear_half,0.0,-200.0,200.0,0.0,-250.0,150.9107460975647
31,1e-05,128,1000,linear_full,0.05,-189.54,190.59,0.0,-227.1875,171.0731110572815
32,1e-05,128,1000,linear_half,0.0,-200.0,200.0,0.0,-250.0,182.41935086250305
33,1e-05,128,2000,linear_full,0.05,-189.5,190.55,0.0,-227.1375,170.22399997711182
34,1e-05,128,2000,linear_half,0.0,-200.0,200.0,0.0,-250.0,181.82192206382751
35,1e-05,128,3000,linear_full,0.0,-200.0,200.0,0.0,-250.0,173.30097889900208
36,1e-05,128,3000,linear_half,0.0,-200.0,200.0,0.0,-250.0,172.61656188964844
