run_id,lr,batch_size,train_every_steps,gamma,eval_success,eval_reward,eval_steps,eval_penalties,score,train_seconds
1,0.0005,128,1,0.97,1.0,8.01,12.99,0.0,15.019999999999998,69.69256377220154
2,0.0005,128,1,0.99,1.0,8.01,12.99,0.0,15.019999999999998,82.1302559375763
3,0.0005,128,2,0.97,1.0,8.01,12.99,0.0,15.019999999999998,37.06996035575867
4,0.0005,128,2,0.99,1.0,8.01,12.99,0.0,15.019999999999998,41.00790309906006
5,0.0005,128,4,0.97,1.0,8.01,12.99,0.0,15.019999999999998,21.820104837417603
6,0.0005,128,4,0.99,0.68,-58.61,72.89,0.0,-117.9,37.38648700714111
7,0.0005,256,1,0.97,0.99,5.94,14.85,0.0,10.890000000000002,94.30961394309998
8,0.0005,256,1,0.99,0.93,-6.67,26.2,0.0,-14.269999999999998,104.46283006668091
9,0.0005,256,2,0.97,1.0,8.01,12.99,0.0,15.019999999999998,50.596890926361084
10,0.0005,256,2,0.99,1.0,8.01,12.99,0.0,15.019999999999998,53.41359305381775
11,0.0005,256,4,0.97,1.0,8.01,12.99,0.0,15.019999999999998,26.76858901977539
12,0.0005,256,4,0.99,1.0,8.01,12.99,0.0,15.019999999999998,31.202831029891968
13,0.0001,128,1,0.97,1.0,8.01,12.99,0.0,15.019999999999998,78.68195009231567
14,0.0001,128,1,0.99,1.0,8.01,12.99,0.0,15.019999999999998,91.64461898803711
15,0.0001,128,2,0.97,1.0,8.01,12.99,0.0,15.019999999999998,44.69767880439758
16,0.0001,128,2,0.99,1.0,7.87,13.13,0.0,14.74,54.636815786361694
17,0.0001,128,4,0.97,0.99,5.73,15.06,0.0,10.47,36.258206844329834
18,0.0001,128,4,0.99,0.56,-83.59,95.35,0.0,-167.74,49.626399993896484
19,0.0001,256,1,0.97,1.0,8.01,12.99,0.0,15.019999999999998,99.54436898231506
20,0.0001,256,1,0.99,1.0,8.01,12.99,0.0,15.019999999999998,107.79642009735107
21,0.0001,256,2,0.97,1.0,8.01,12.99,0.0,15.019999999999998,58.74467897415161
22,0.0001,256,2,0.99,0.97,1.8,18.57,0.0,2.629999999999999,71.98221516609192
23,0.0001,256,4,0.97,0.9,-12.71,31.61,0.0,-26.32,38.30595111846924
24,0.0001,256,4,0.99,0.68,-58.47,72.75,0.0,-117.62,58.808841943740845
25,0.005,128,1,0.97,0.0,-200.0,200.0,0.0,-400.0,258.4978630542755
26,0.005,128,1,0.99,0.0,-200.0,200.0,0.0,-400.0,259.9677152633667
27,0.005,128,2,0.97,0.0,-200.0,200.0,0.0,-400.0,130.97525691986084
28,0.005,128,2,0.99,0.0,-200.0,200.0,0.0,-400.0,133.07053589820862
29,0.005,128,4,0.97,0.61,-91.16,85.97,2.0,-184.93,38.5809211730957
30,0.005,128,4,0.99,0.0,-200.0,200.0,0.0,-400.0,72.01084280014038
31,0.005,256,1,0.97,0.0,-200.0,200.0,0.0,-400.0,361.7088210582733
32,0.005,256,1,0.99,0.0,-200.0,200.0,0.0,-400.0,379.55982780456543
33,0.005,256,2,0.97,0.0,-200.0,200.0,0.0,-400.0,189.06364822387695
34,0.005,256,2,0.99,0.0,-200.0,200.0,0.0,-400.0,187.35095191001892
35,0.005,256,4,0.97,0.0,-200.0,200.0,0.0,-400.0,92.6880202293396
36,0.005,256,4,0.99,0.0,-200.0,200.0,0.0,-400.0,95.34634184837341
