episode,reward_rm,steps_rm,penalties_rm,success_rm
1.000000000000000000e+00,-8.300000000000000000e+02,2.000000000000000000e+02,7.000000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+00,-7.940000000000000000e+02,2.000000000000000000e+02,6.600000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+00,-8.090000000000000000e+02,2.000000000000000000e+02,6.766666666666667140e+01,0.000000000000000000e+00
4.000000000000000000e+00,-7.962500000000000000e+02,2.000000000000000000e+02,6.625000000000000000e+01,0.000000000000000000e+00
5.000000000000000000e+00,-7.832000000000000455e+02,2.000000000000000000e+02,6.479999999999999716e+01,0.000000000000000000e+00
6.000000000000000000e+00,-7.880000000000000000e+02,2.000000000000000000e+02,6.533333333333332860e+01,0.000000000000000000e+00
7.000000000000000000e+00,-8.017142857142856656e+02,2.000000000000000000e+02,6.685714285714286120e+01,0.000000000000000000e+00
8.000000000000000000e+00,-7.917500000000000000e+02,2.000000000000000000e+02,6.575000000000000000e+01,0.000000000000000000e+00
9.000000000000000000e+00,-7.533333333333333712e+02,1.916666666666666572e+02,6.266666666666666430e+01,1.111111111111111049e-01
1.000000000000000000e+01,-7.528999999999999773e+02,1.925000000000000000e+02,6.250000000000000000e+01,1.000000000000000056e-01
1.100000000000000000e+01,-7.517272727272727479e+02,1.931818181818181870e+02,6.227272727272727337e+01,9.090909090909091161e-02
1.200000000000000000e+01,-7.597500000000000000e+02,1.937500000000000000e+02,6.308333333333333570e+01,8.333333333333332871e-02
1.300000000000000000e+01,-7.533846153846153584e+02,1.942307692307692264e+02,6.230769230769230660e+01,7.692307692307692735e-02
1.400000000000000000e+01,-7.595000000000000000e+02,1.946428571428571388e+02,6.292857142857143060e+01,7.142857142857142461e-02
1.500000000000000000e+01,-7.612000000000000455e+02,1.950000000000000000e+02,6.306666666666666998e+01,6.666666666666666574e-02
1.600000000000000000e+01,-7.598750000000000000e+02,1.953125000000000000e+02,6.287500000000000000e+01,6.250000000000000000e-02
1.700000000000000000e+01,-7.645294117647058556e+02,1.955882352941176521e+02,6.335294117647058698e+01,5.882352941176470507e-02
1.800000000000000000e+01,-7.626666666666666288e+02,1.958333333333333428e+02,6.311111111111111427e+01,5.555555555555555247e-02
1.900000000000000000e+01,-7.638421052631579187e+02,1.960526315789473699e+02,6.321052631578947256e+01,5.263157894736841813e-02
2.000000000000000000e+01,-7.558999999999999773e+02,1.962500000000000000e+02,6.229999999999999716e+01,5.000000000000000278e-02
2.100000000000000000e+01,-7.438571428571428896e+02,1.934285714285714164e+02,6.138095238095237960e+01,9.523809523809523281e-02
2.200000000000000000e+01,-7.436818181818181301e+02,1.937272727272727195e+02,6.131818181818182012e+01,9.090909090909091161e-02
2.300000000000000000e+01,-7.411739130434782510e+02,1.940000000000000000e+02,6.100000000000000000e+01,8.695652173913043237e-02
2.400000000000000000e+01,-7.392500000000000000e+02,1.942500000000000000e+02,6.075000000000000000e+01,8.333333333333332871e-02
2.500000000000000000e+01,-7.403600000000000136e+02,1.944799999999999898e+02,6.084000000000000341e+01,8.000000000000000167e-02
2.600000000000000000e+01,-7.420769230769230944e+02,1.946923076923076792e+02,6.100000000000000000e+01,7.692307692307692735e-02
2.700000000000000000e+01,-7.443333333333333712e+02,1.948888888888888857e+02,6.122222222222222143e+01,7.407407407407406996e-02
2.800000000000000000e+01,-7.438571428571428896e+02,1.950714285714285836e+02,6.114285714285714590e+01,7.142857142857142461e-02
2.900000000000000000e+01,-7.452758620689654663e+02,1.952413793103448256e+02,6.127586206896551602e+01,6.896551724137930939e-02
3.000000000000000000e+01,-7.453999999999999773e+02,1.954000000000000057e+02,6.126666666666666572e+01,6.666666666666666574e-02
3.100000000000000000e+01,-7.411612903225806122e+02,1.955483870967742064e+02,6.077419354838709609e+01,6.451612903225806273e-02
3.200000000000000000e+01,-7.428125000000000000e+02,1.956875000000000000e+02,6.093750000000000000e+01,6.250000000000000000e-02
3.300000000000000000e+01,-7.402727272727272521e+02,1.958181818181818130e+02,6.063636363636363313e+01,6.060606060606060774e-02
3.400000000000000000e+01,-7.384117647058823195e+02,1.959411764705882320e+02,6.041176470588235503e+01,5.882352941176470507e-02
3.500000000000000000e+01,-7.361428571428571104e+02,1.960571428571428498e+02,6.014285714285714590e+01,5.714285714285714107e-02
3.600000000000000000e+01,-7.347500000000000000e+02,1.961666666666666572e+02,5.997222222222222143e+01,5.555555555555555247e-02
3.700000000000000000e+01,-7.346486486486486456e+02,1.962702702702702595e+02,5.994594594594594383e+01,5.405405405405405705e-02
3.800000000000000000e+01,-7.347894736842105203e+02,1.963684210526315894e+02,5.994736842105263008e+01,5.263157894736841813e-02
3.900000000000000000e+01,-7.344615384615384528e+02,1.964615384615384528e+02,5.989743589743589780e+01,5.128205128205128027e-02
4.000000000000000000e+01,-7.366250000000000000e+02,1.965500000000000114e+02,6.012500000000000000e+01,5.000000000000000278e-02
4.100000000000000000e+01,-7.349512195121951663e+02,1.966341463414634063e+02,5.992682926829268553e+01,4.878048780487805047e-02
4.200000000000000000e+01,-7.335714285714285552e+02,1.967142857142857224e+02,5.976190476190475920e+01,4.761904761904761640e-02
4.300000000000000000e+01,-7.198139534883721353e+02,1.934186046511627808e+02,5.865116279069767558e+01,6.976744186046511531e-02
4.400000000000000000e+01,-7.167954545454545041e+02,1.935681818181818130e+02,5.829545454545454675e+01,6.818181818181817677e-02
4.500000000000000000e+01,-7.159111111111111541e+02,1.937111111111111086e+02,5.817777777777777715e+01,6.666666666666666574e-02
4.600000000000000000e+01,-7.010000000000000000e+02,1.900217391304347814e+02,5.697826086956521863e+01,8.695652173913043237e-02
4.700000000000000000e+01,-7.006808510638297776e+02,1.902340425531915002e+02,5.691489361702127781e+01,8.510638297872340219e-02
4.800000000000000000e+01,-7.026250000000000000e+02,1.904375000000000000e+02,5.710416666666666430e+01,8.333333333333332871e-02
4.900000000000000000e+01,-7.041224489795918089e+02,1.906326530612244881e+02,5.724489795918367463e+01,8.163265306122448328e-02
