episode,reward_rm,steps_rm,penalties_rm,success_rm
1.000000000000000000e+00,-7.850000000000000000e+02,2.000000000000000000e+02,6.500000000000000000e+01,0.000000000000000000e+00
2.000000000000000000e+00,-8.255000000000000000e+02,2.000000000000000000e+02,6.950000000000000000e+01,0.000000000000000000e+00
3.000000000000000000e+00,-8.060000000000000000e+02,2.000000000000000000e+02,6.733333333333332860e+01,0.000000000000000000e+00
4.000000000000000000e+00,-7.962500000000000000e+02,2.000000000000000000e+02,6.625000000000000000e+01,0.000000000000000000e+00
5.000000000000000000e+00,-7.940000000000000000e+02,2.000000000000000000e+02,6.600000000000000000e+01,0.000000000000000000e+00
6.000000000000000000e+00,-7.880000000000000000e+02,2.000000000000000000e+02,6.533333333333332860e+01,0.000000000000000000e+00
7.000000000000000000e+00,-7.760000000000000000e+02,2.000000000000000000e+02,6.400000000000000000e+01,0.000000000000000000e+00
8.000000000000000000e+00,-7.636250000000000000e+02,2.000000000000000000e+02,6.262500000000000000e+01,0.000000000000000000e+00
9.000000000000000000e+00,-7.690000000000000000e+02,2.000000000000000000e+02,6.322222222222222143e+01,0.000000000000000000e+00
1.000000000000000000e+01,-7.652000000000000455e+02,2.000000000000000000e+02,6.279999999999999716e+01,0.000000000000000000e+00
1.100000000000000000e+01,-7.661818181818181301e+02,2.000000000000000000e+02,6.290909090909090651e+01,0.000000000000000000e+00
1.200000000000000000e+01,-7.745000000000000000e+02,2.000000000000000000e+02,6.383333333333333570e+01,0.000000000000000000e+00
1.300000000000000000e+01,-7.808461538461538112e+02,2.000000000000000000e+02,6.453846153846153300e+01,0.000000000000000000e+00
1.400000000000000000e+01,-7.792142857142856656e+02,2.000000000000000000e+02,6.435714285714286120e+01,0.000000000000000000e+00
1.500000000000000000e+01,-7.742000000000000455e+02,2.000000000000000000e+02,6.379999999999999716e+01,0.000000000000000000e+00
1.600000000000000000e+01,-7.731875000000000000e+02,2.000000000000000000e+02,6.368750000000000000e+01,0.000000000000000000e+00
1.700000000000000000e+01,-7.722941176470587834e+02,2.000000000000000000e+02,6.358823529411764497e+01,0.000000000000000000e+00
1.800000000000000000e+01,-7.750000000000000000e+02,2.000000000000000000e+02,6.388888888888888573e+01,0.000000000000000000e+00
1.900000000000000000e+01,-7.717368421052631220e+02,2.000000000000000000e+02,6.352631578947368496e+01,0.000000000000000000e+00
2.000000000000000000e+01,-7.423500000000000227e+02,1.925999999999999943e+02,6.120000000000000284e+01,5.000000000000000278e-02
2.100000000000000000e+01,-7.465238095238095184e+02,1.929523809523809632e+02,6.161904761904762040e+01,4.761904761904761640e-02
2.200000000000000000e+01,-7.466363636363636260e+02,1.932727272727272805e+02,6.159090909090909349e+01,4.545454545454545581e-02
2.300000000000000000e+01,-7.475217391304347530e+02,1.935652173913043441e+02,6.165217391304347672e+01,4.347826086956521618e-02
2.400000000000000000e+01,-7.475833333333333712e+02,1.938333333333333428e+02,6.162500000000000000e+01,4.166666666666666435e-02
2.500000000000000000e+01,-7.472799999999999727e+02,1.940800000000000125e+02,6.156000000000000227e+01,4.000000000000000083e-02
2.600000000000000000e+01,-7.473461538461538112e+02,1.943076923076923208e+02,6.153846153846154010e+01,3.846153846153846367e-02
2.700000000000000000e+01,-7.527407407407407618e+02,1.945185185185185048e+02,6.211111111111111427e+01,3.703703703703703498e-02
2.800000000000000000e+01,-7.555000000000000000e+02,1.947142857142857224e+02,6.239285714285714590e+01,3.571428571428571230e-02
2.900000000000000000e+01,-7.565172413793103487e+02,1.948965517241379359e+02,6.248275862068965836e+01,3.448275862068965469e-02
3.000000000000000000e+01,-7.553666666666666742e+02,1.950666666666666629e+02,6.233333333333333570e+01,3.333333333333333287e-02
3.100000000000000000e+01,-7.563225806451613380e+02,1.952258064516128968e+02,6.241935483870967971e+01,3.225806451612903136e-02
3.200000000000000000e+01,-7.603125000000000000e+02,1.953750000000000000e+02,6.284375000000000000e+01,3.125000000000000000e-02
3.300000000000000000e+01,-7.626969696969697452e+02,1.955151515151515014e+02,6.309090909090909349e+01,3.030303030303030387e-02
3.400000000000000000e+01,-7.633529411764706083e+02,1.956470588235294201e+02,6.314705882352941302e+01,2.941176470588235253e-02
3.500000000000000000e+01,-7.634571428571429124e+02,1.957714285714285722e+02,6.314285714285714590e+01,2.857142857142857054e-02
3.600000000000000000e+01,-7.625555555555555429e+02,1.958888888888888857e+02,6.302777777777777857e+01,2.777777777777777624e-02
3.700000000000000000e+01,-7.638918918918918735e+02,1.960000000000000000e+02,6.316216216216216139e+01,2.702702702702702853e-02
3.800000000000000000e+01,-7.651578947368420813e+02,1.961052631578947398e+02,6.328947368421052744e+01,2.631578947368420907e-02
3.900000000000000000e+01,-7.640512820512821008e+02,1.962051282051282044e+02,6.315384615384615330e+01,2.564102564102564014e-02
4.000000000000000000e+01,-7.621000000000000227e+02,1.963000000000000114e+02,6.292499999999999716e+01,2.500000000000000139e-02
4.100000000000000000e+01,-7.622195121951219789e+02,1.963902439024390105e+02,6.292682926829268553e+01,2.439024390243902524e-02
4.200000000000000000e+01,-7.644761904761904816e+02,1.964761904761904816e+02,6.316666666666666430e+01,2.380952380952380820e-02
4.300000000000000000e+01,-7.647441860465115724e+02,1.965581395348837077e+02,6.318604651162790731e+01,2.325581395348837177e-02
4.400000000000000000e+01,-7.650000000000000000e+02,1.966363636363636260e+02,6.320454545454545325e+01,2.272727272727272790e-02
4.500000000000000000e+01,-7.664444444444444571e+02,1.967111111111111086e+02,6.335555555555555429e+01,2.222222222222222307e-02
4.600000000000000000e+01,-7.676304347826087451e+02,1.967826086956521863e+02,6.347826086956521863e+01,2.173913043478260809e-02
