run_id,alpha,gamma,eps_end,eps_decay_episodes,eval_mean_reward,eval_mean_steps,eval_success_rate,eval_mean_penalties,score
1,0.1,0.9,0.01,2000,-149.4,154.44,0.24,0.0,-140.01
2,0.1,0.9,0.05,2000,-128.72,135.86,0.34,0.0,-94.685
3,0.1,0.9,0.1,2000,-128.58,135.72,0.34,0.0,-94.51000000000002
4,0.1,0.95,0.01,2000,-124.42,131.98,0.36,0.0,-85.41499999999999
5,0.1,0.95,0.05,2000,-124.38,131.94,0.36,0.0,-85.365
6,0.1,0.95,0.1,2000,-132.72,139.44,0.32,0.0,-103.58
7,0.1,0.99,0.01,2000,-120.22,128.2,0.38,0.0,-76.27
8,0.1,0.99,0.05,2000,-124.44,132.0,0.36,0.0,-85.44
9,0.1,0.99,0.1,2000,-141.12,147.0,0.28,0.0,-121.87
10,0.3,0.9,0.01,2000,3.82,16.76,0.98,0.0,195.63
11,0.3,0.9,0.05,2000,-4.52,24.26,0.94,0.0,177.415
12,0.3,0.9,0.1,2000,3.76,16.82,0.98,0.0,195.55499999999998
13,0.3,0.95,0.01,2000,7.9,13.1,1.0,0.0,204.625
14,0.3,0.95,0.05,2000,-12.7,31.6,0.9,0.0,159.4
15,0.3,0.95,0.1,2000,3.82,16.76,0.98,0.0,195.63
16,0.3,0.99,0.01,2000,3.82,16.76,0.98,0.0,195.63
17,0.3,0.99,0.05,2000,3.76,16.82,0.98,0.0,195.55499999999998
18,0.3,0.99,0.1,2000,-0.32,20.48,0.96,0.0,186.56
19,0.5,0.9,0.01,2000,7.86,13.14,1.0,0.0,204.57500000000002
20,0.5,0.9,0.05,2000,7.9,13.1,1.0,0.0,204.625
21,0.5,0.9,0.1,2000,7.9,13.1,1.0,0.0,204.625
22,0.5,0.95,0.01,2000,3.76,16.82,0.98,0.0,195.55499999999998
23,0.5,0.95,0.05,2000,3.76,16.82,0.98,0.0,195.55499999999998
24,0.5,0.95,0.1,2000,7.9,13.1,1.0,0.0,204.625
25,0.5,0.99,0.01,2000,7.9,13.1,1.0,0.0,204.625
26,0.5,0.99,0.05,2000,7.9,13.1,1.0,0.0,204.625
27,0.5,0.99,0.1,2000,7.9,13.1,1.0,0.0,204.625
